[Performance Sweep]
Speed (m/s),Flight Time (min),Range (km),Power Fwd (W),Power Hov (W),Thrust Fwd (N),Thrust Hov (N),Disk Loading (N/m²),Hover Wind Resistance (m/s),Prop Solidity (σ)
0.5,18.117059437617705,0.5435117831285312,1790.2374829310863,1874.7972279717605,161.86500102390335,161.88478667423382,82.50120433822056,48.64055870336398,0.1400563499208679
0.5875,18.160374569003807,0.6401532035573843,1785.7479545332649,1870.2114937674153,161.86500195168816,161.8923179771141,82.50120433822056,48.64055870336398,0.1400563499208679
0.675,18.174230947408386,0.7360563533700397,1784.316284997191,1868.85555489244,161.86500340090132,161.90106121379117,82.50120433822056,48.64055870336398,0.1400563499208679
0.7625,18.190008438530402,0.8321928860627658,1782.68877731503,1867.313063943678,161.86500553781354,161.91101638426505,82.50120433822056,48.64055870336398,0.1400563499208679
0.85,18.207708618171775,0.9285931395267606,1780.8662934308315,1865.584570220722,161.86500855174287,161.92218348853578,82.50120433822056,48.64055870336398,0.1400563499208679
0.9375,18.22733348855878,1.0252875087314315,1778.8497723246012,1863.67069284249,161.86501265505487,161.93456252660332,82.50120433822056,48.64055870336398,0.1400563499208679
1.025,18.248885453466826,1.1223064553882098,1776.6402316225478,1861.572121743454,161.8650180831623,161.94815349846766,82.50120433822056,48.64055870336398,0.1400563499208679
1.1125,18.272367291838137,1.2196805167301956,1774.2387692730545,1859.2896187351678,161.8650250945255,161.96295640412885,82.50120433822056,48.64055870336398,0.1400563499208679
1.2,18.297782129403455,1.3174403133170487,1771.6465653258451,1856.8240186719647,161.86503397065195,161.97897124358684,82.50120433822056,48.64055870336398,0.1400563499208679
1.2875,18.325133408507572,1.41561655580721,1768.8648837801454,1854.1762306860692,161.86504501609656,161.99619801684167,82.50120433822056,48.64055870336398,0.1400563499208679
1.375,18.354424856083575,1.5142400506268947,1765.8950744932233,1851.3472394840085,161.8650585584614,162.01463672389332,82.50120433822056,48.64055870336398,0.1400563499208679
1.4625,18.385660449194614,1.613341704416827,1762.7385751930995,1848.3381067492942,161.8650749483958,162.03428736474177,82.50120433822056,48.64055870336398,0.1400563499208679
1.55,18.41884437917434,1.7129525272632138,1759.3969134749525,1845.1499725299145,161.8650945595962,162.05514993938706,82.50120433822056,48.64055870336398,0.1400563499208679
1.6375,18.453981013029697,1.8131036345301677,1755.8717089002935,1841.7840567323783,161.8651177888061,162.0772244478292,82.50120433822056,48.64055870336398,0.1400563499208679
1.725,18.491074852880768,1.9138262472731595,1752.164675103085,1838.2416606261856,161.8651450558159,162.1005108900681,82.50120433822056,48.64055870336398,0.1400563499208679
1.8125,18.530130493289846,2.0151516911452707,1748.2776219005639,1834.524168358115,161.8651768034629,162.1250092661039,82.50120433822056,48.64055870336398,0.1400563499208679
1.9,18.571152575404,2.117111393596056,1744.2124574976247,1830.6330485662481,161.86521349763106,162.15071957593645,82.50120433822056,48.64055870336398,0.1400563499208679
1.9875,18.614145740158758,2.2197368795139325,1739.9711905425024,1826.5698558533722,161.8652556272509,162.17764181956585,82.50120433822056,48.64055870336398,0.1400563499208679
2.075,18.659114577795773,2.323059764935574,1735.5559322887314,1822.3362323761712,161.86530370429927,162.2057759969921,82.50120433822056,48.64055870336398,0.1400563499208679
2.1625,18.706063575478034,2.4271117489182754,1730.9688986667302,1817.9339093557403,161.86535826379918,162.2351221082151,82.50120433822056,48.64055870336398,0.1400563499208679
2.25,18.754997062705353,2.5319246034652227,1726.2124122768712,1813.3647085242583,161.86541986381957,162.265680153235,82.50120433822056,48.64055870336398,0.1400563499208679
2.3375,18.805919152634264,2.6375301611569553,1721.2889044692524,1808.630543671634,161.86548908547493,162.29745013205167,82.50120433822056,48.64055870336398,0.1400563499208679
2.425,18.858833683661587,2.743960300972761,1716.2009170679457,1803.733421861025,161.86556653292521,162.33043204466517,82.50120433822056,48.64055870336398,0.1400563499208679
2.5125,18.913744156082146,2.851246931529384,1710.9511042268855,1798.6754447935589,161.8656528333752,162.36462589107552,82.50120433822056,48.64055870336398,0.1400563499208679
2.6,18.970653667767778,2.959421972171773,1705.5422340169268,1793.4588099329512,161.8657486370744,162.40003167128265,82.50120433822056,48.64055870336398,0.1400563499208679
2.6875,19.029564845646828,3.0685173313605514,1699.9771900367955,1788.0858116769261,161.8658546173164,162.43664938528664,82.50120433822056,48.64055870336398,0.1400563499208679
2.775,19.09047977762456,3.178564882974489,1694.2589725911164,1782.558842137869,161.86597147043844,162.47447903308742,82.50120433822056,48.64055870336398,0.1400563499208679
2.8625,19.153399939771983,3.289596439655838,1688.3906999139806,1776.8803919969864,161.86609991582105,162.51352061468504,82.50120433822056,48.64055870336398,0.1400563499208679
2.95,19.218326122893856,3.401643723752213,1682.3756090356821,1771.0530510836254,161.86624069588723,162.5537741300795,82.50120433822056,48.64055870336398,0.1400563499208679
3.0375,19.285258355143558,3.514738335224913,1676.2170565941194,1765.07950872114,161.86639457610192,162.59523957927075,82.50120433822056,48.64055870336398,0.1400563499208679
3.125,19.354195825829315,3.628911717342996,1669.9185191052393,1758.9625541299504,161.86656234497133,162.63791696225883,82.50120433822056,48.64055870336398,0.1400563499208679
3.2125,19.425136804806176,3.74419511912639,1663.4835932066862,1752.705076132144,161.8667448140421,162.68180627904374,82.50120433822056,48.64055870336398,0.1400563499208679
3.3,19.498078562102613,3.860619555296317,1656.9159954413803,1746.3100630359647,161.86694281790054,162.72690752962546,82.50120433822056,48.64055870336398,0.1400563499208679
3.3875,19.573017284064747,3.97821576298616,1650.219561918879,1739.7806019993507,161.86715721417158,162.77322071400403,82.50120433822056,48.64055870336398,0.1400563499208679
3.475,19.64994799209333,4.0970141563514595,1643.3982473092306,1733.1198784355586,161.867388883518,162.82074583217937,82.50120433822056,48.64055870336398,0.1400563499208679
3.5625,19.72886445746586,4.217044777783328,1636.4561237621003,1726.3311746157074,161.86763872963917,162.86948288415158,82.50120433822056,48.64055870336398,0.1400563499208679
3.65,19.809759117245815,4.338337246676833,1629.3973793095258,1719.4178684236704,161.86790767926996,162.9194318699206,82.50120433822056,48.64055870336398,0.1400563499208679
3.7375,19.89262299080601,4.460920705688248,1622.2263158126455,1712.3834315055876,161.86819668217956,162.97059278948643,82.50120433822056,48.64055870336398,0.1400563499208679
3.825,19.977445592611915,4.584823763504435,1614.9473468440383,1705.2314274448531,161.86850671117,163.02296564284907,82.50120433822056,48.64055870336398,0.1400563499208679
3.9125,20.064214853003268,4.710074436742517,1607.5649945105802,1697.9655090189406,161.86883876207486,163.07655043000855,82.50120433822056,48.64055870336398,0.1400563499208679
4.0,20.152917034165498,4.836700088199719,1600.0838863539616,1690.589415629062,161.8691938537576,163.13134715096487,82.50120433822056,48.64055870336398,0.1400563499208679
4.0875,20.24353664761798,4.96472736282831,1592.5087517999905,1683.1069700495357,161.86957302810998,163.187355805718,82.50120433822056,48.64055870336398,0.1400563499208679
4.175,20.336056378660697,5.094182122854504,1584.844417739839,1675.5220752311902,161.86997735005025,163.24457639426794,82.50120433822056,48.64055870336398,0.1400563499208679
4.2625,20.43045700822922,5.225089379854623,1577.0958040860667,1667.838710076033,161.87040790752133,163.30300891661471,82.50120433822056,48.64055870336398,0.1400563499208679
4.35,20.52671734085888,5.357473225964167,1569.267918612797,1660.0609254654455,161.87086581148867,163.3626533727583,82.50120433822056,48.64055870336398,0.1400563499208679
4.4375,20.624814131711968,5.491356762568312,1561.365851705982,1652.1928395562593,161.87135219593821,163.4235097626987,82.50120433822056,48.64055870336398,0.1400563499208679
4.525,20.72472202452529,5.626762029658615,1553.3947701066688,1644.2386332150281,161.87186821787412,163.48557808643594,82.50120433822056,48.64055870336398,0.1400563499208679
4.6125,20.82641348741997,5.763709932643477,1545.359910762974,1636.2025443312968,161.8724150573162,163.54885834396998,82.50120433822056,48.64055870336398,0.1400563499208679
4.7,20.92985875758766,5.90222016963972,1537.2665739523495,1628.088862533503,161.87299391729755,163.61335053530087,82.50120433822056,48.64055870336398,0.1400563499208679
4.7875,21.035025785737943,6.0423111569532235,1529.1201164553488,1619.9019231541918,161.87360602386164,163.67905466042856,82.50120433822056,48.64055870336398,0.1400563499208679
4.875,21.1418801951993,6.1839999570957955,1520.925943673646,1611.6461014769789,161.87425262605956,163.74597071935307,82.50120433822056,48.64055870336398,0.1400563499208679
4.9625,21.25038523881817,6.32730220485811,1512.6895020745824,1603.3258057991184,161.87493499594692,163.8140987120744,82.50120433822056,48.64055870336398,0.1400563499208679
5.05,21.360501767502377,6.472232035553219,1504.4162709440236,1594.9454710251493,161.87565442858062,163.8834386385926,82.50120433822056,48.64055870336398,0.1400563499208679
5.1375,21.472188198715486,6.618802012254049,1496.1117544030578,1586.5095520534162,161.87641224201542,163.95399049890756,82.50120433822056,48.64055870336398,0.1400563499208679
5.225,21.585400503329115,6.7670230577936765,1487.7814723665565,1578.0225163277387,161.87720977730052,164.0257542930194,82.50120433822056,48.64055870336398,0.1400563499208679
5.3125,21.700092189413045,6.916904385375409,1479.430952117877,1569.4888369251144,161.8780483984755,164.098730020928,82.50120433822056,48.64055870336398,0.1400563499208679
5.4,21.816214300090977,7.068453433229477,1471.0657192768308,1560.9129851166551,161.87892949256664,164.17291768263345,82.50120433822056,48.64055870336398,0.1400563499208679
5.4875,21.933715410806414,7.221675799008011,1462.6912892939395,1552.2994233754482,161.87985446958257,164.24831727813574,82.50120433822056,48.64055870336398,0.1400563499208679
5.575,22.05254164819469,7.376575181321124,1454.313157926598,1543.65259749618,161.88082476250995,164.32492880743482,82.50120433822056,48.64055870336398,0.1400563499208679
5.6625,22.17263670543985,7.533153320673188,1445.9367925671086,1534.976929512936,161.8818418273088,164.40275227053075,82.50120433822056,48.64055870336398,0.1400563499208679
5.75,22.293941865368506,7.691409943552134,1437.567623640015,1526.276810174039,161.88290714290773,164.48178766742348,82.50120433822056,48.64055870336398,0.1400563499208679
